Date,Close,Volume
2021-09-08,5.044,236943077
2021-09-09,5.042,182545189
2021-09-10,5.091,389334975
2021-09-13,5.064,320015733
2021-09-14,4.998,327711994
2021-09-15,4.945,270735874
2021-09-16,4.889,429348425
2021-09-17,4.928,513992694
2021-09-22,4.895,491629600
2021-09-23,4.924,286973255
2021-09-24,4.931,464771190
2021-09-27,4.963,359893578
2021-09-28,4.954,263635257
2021-09-29,4.921,592261073
2021-09-30,4.935,312959671
2021-10-08,5.006,244624120
2021-10-11,5.005,260322371
2021-10-12,4.953,330606824
2021-10-13,5.009,253573666
2021-10-14,4.982,199808658
2021-10-15,5.006,217970095
2021-10-18,4.948,251260474
2021-10-19,4.995,288469796
2021-10-20,4.981,156696300
2021-10-21,5.003,224085516
2021-10-22,5.036,334597340
2021-10-25,5.053,265374504
2021-10-26,5.036,247909532
2021-10-27,4.97,278104300
2021-10-28,4.949,441341200
2021-10-29,4.981,426484699
2021-11-01,4.965,195002345
2021-11-02,4.913,429413513
2021-11-03,4.893,340635107
2021-11-04,4.94,284423300
2021-11-05,4.923,265600790
2021-11-08,4.919,312485200
2021-11-09,4.917,262840000
2021-11-10,4.892,489426383
2021-11-11,4.972,352364995
2021-11-12,4.97,272906704
2021-11-15,4.964,335915381
2021-11-16,4.96,351870307
2021-11-17,4.959,226981757
2021-11-18,4.915,360601200
2021-11-19,4.97,275920589
2021-11-22,4.983,353647489
2021-11-23,4.986,317267246
2021-11-24,4.997,178594706
2021-11-25,4.978,137259970
2021-11-26,4.936,204637800
2021-11-29,4.929,233856000
2021-11-30,4.911,183680000
2021-12-01,4.924,211626158
2021-12-02,4.934,161035147
2021-12-03,4.979,219632143
2021-12-06,4.974,332899117
2021-12-07,5.002,212426758
2021-12-08,5.074,341191710
2021-12-09,5.158,633221175
2021-12-10,5.143,396126046
2021-12-13,5.156,429033771
2021-12-14,5.125,362687781
2021-12-15,5.079,203583199
2021-12-16,5.106,377304328
2021-12-17,5.033,622618900
2021-12-20,4.958,851825300
2021-12-21,4.979,517133515
2021-12-22,4.982,666046188
2021-12-23,5.02,302305260
2021-12-24,4.997,260396101
2021-12-27,5.001,504491326
2021-12-28,5.027,639914174
2021-12-29,4.96,403865556
2021-12-30,4.996,474498019
2021-12-31,5.008,351416595
2022-01-04,4.99,486355276
2022-01-05,4.943,464073106
2022-01-06,4.887,517272800
2022-01-07,4.899,478519700
2022-01-10,4.912,491122307
2022-01-11,4.867,412218898
2022-01-12,4.919,511332582
2022-01-13,4.838,488272297
2022-01-14,4.794,410029000
2022-01-17,4.835,498349057
2022-01-18,4.881,624167062
2022-01-19,4.78,522439260
2022-01-20,4.818,541278488
2022-01-21,4.784,781436980
2022-01-24,4.786,460574013
2022-01-25,4.68,595270865
2022-01-26,4.706,521842100
2022-01-27,4.625,607621674
2022-01-28,4.554,858391702
2022-02-07,4.626,484586760
2022-02-08,4.604,448141306
2022-02-09,4.643,458938095
2022-02-10,4.632,495383095
2022-02-11,4.596,461743608
2022-02-14,4.547,329967908
2022-02-15,4.589,604314440
2022-02-16,4.61,449800548
2022-02-17,4.62,629040692
2022-02-18,4.644,304105215
2022-02-21,4.627,324195053
2022-02-22,4.567,315316769
2022-02-23,4.615,446903932
2022-02-24,4.53,591236542
2022-02-25,4.565,384466069
2022-02-28,4.571,269317076
2022-03-01,4.609,326162903
2022-03-02,4.574,194601292
2022-03-03,4.545,200689920
2022-03-04,4.494,405376626
2022-03-07,4.346,583112990
2022-03-08,4.264,691708074
2022-03-09,4.224,786748812
2022-03-10,4.284,552846528
2022-03-11,4.312,397342208
2022-03-14,4.172,433100428
2022-03-15,3.973,1044477802
2022-03-16,4.146,1325138541
2022-03-17,4.23,1147561626
2022-03-18,4.258,403021732
2022-03-21,4.252,372016391
2022-03-22,4.248,250422476
2022-03-23,4.273,308244671
2022-03-24,4.246,220641762
2022-03-25,4.169,356808307
2022-03-28,4.144,415593846
2022-03-29,4.126,231033117
2022-03-30,4.249,500257530
2022-03-31,4.218,424278996
2022-04-01,4.269,375247241
2022-04-06,4.257,339893770
2022-04-07,4.205,278398351
2022-04-08,4.233,320271297
2022-04-11,4.101,580058497
2022-04-12,4.171,806475900
2022-04-13,4.139,387260208
2022-04-14,4.183,573689243
2022-04-15,4.181,532237966
2022-04-18,4.161,279709272
