index_key,index_label,period,start,end,direction,n_obs,lag,ks_stat,pvalue,reject,stars,cv_5,n_eff,elapsed
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,753,6,1.1710530736148528,0.3923923923923924,False,,1.4736334795656405,747,12.205867200002103
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,753,7,0.9869050774115079,0.6876876876876877,False,,1.533289419906196,746,9.056919000002381
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,753,8,0.8533951317337315,0.6296296296296297,False,,1.2430941609954353,745,9.826062199997978
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,753,9,0.8933450817467814,0.4724724724724725,False,,1.1677245538973757,744,10.786459499999182
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,753,10,0.687579910534569,0.6796796796796797,False,,1.0221470009240647,743,16.0508239999981
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,754,1,0.6970539765088213,0.38238238238238237,False,,1.0318377682494613,753,5.9249283999997715
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,754,2,0.9928098670677024,0.3183183183183183,False,,1.3327704598619134,752,6.639831600001344
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,754,3,0.8283481794430423,0.7837837837837838,False,,1.3757147191781078,751,7.041728099997272
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,754,4,1.0023112427143852,0.7767767767767768,False,,1.6546677714507303,750,7.812748399999691
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,754,5,1.1002745570739814,0.5165165165165165,False,,1.5517219187655336,749,9.074078400000872
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,754,6,1.091092668859955,0.45345345345345345,False,,1.4635037595955875,748,9.346653099997638
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,754,7,0.8561073321137415,0.7817817817817818,False,,1.3510877619041517,747,10.98254850000012
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,754,8,0.9221537871517369,0.5395395395395396,False,,1.293375284638855,746,11.89816939999946
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,754,9,0.5599360220708404,0.988988988988989,False,,1.1260449918138327,745,13.316080200002034
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,V_t -> P_t,754,10,0.7148643836121288,0.6226226226226226,False,,1.0094911474873522,744,15.143629100002727
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,726,1,0.9103474346140513,0.3173173173173173,False,,1.3510065712702148,725,4.8187713000006624
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,726,2,1.1332850628609785,0.3663663663663664,False,,1.5653825870637794,724,6.755391899998358
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,726,3,1.9695336907834944,0.006006006006006006,True,***,1.6702383937226397,723,6.968213100000867
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,726,4,1.3907483974897599,0.36036036036036034,False,,1.831930129008405,722,7.891306900000927
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,726,5,1.387389474139398,0.22522522522522523,False,,1.6425645435256468,721,8.995220900000277
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,726,6,1.1798943028598137,0.6196196196196196,False,,1.7547939573383609,720,9.522611299998971
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,726,7,1.002067515310303,0.6226226226226226,False,,1.446727942970458,719,11.062340500000573
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,726,8,1.1367625359992335,0.32232232232232233,False,,1.4020928469474596,718,12.070918400000664
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,726,9,0.6668083380918536,0.9769769769769769,False,,1.2542284659805676,717,14.049664199999825
