dgp,n,lag,rep,causal,method,stat,pvalue,reject,elapsed
S1,1000,1,117,False,drgc,0.9232794475078976,0.2304609218436873,False,6.914704800001346
S1,1000,1,117,False,drgc_naive,0.792503445221111,0.7414829659318637,False,1.4417167999999947
S1,1000,1,120,False,drgc,1.171135278174363,0.0581162324649298,False,6.872742899999139
S1,1000,1,120,False,drgc_naive,1.045422621361351,0.4348697394789579,False,1.345699200006493
S1,1000,1,121,False,drgc,0.9414628813054507,0.096192384769539,False,6.4488980999958585
S1,1000,1,121,False,drgc_naive,1.0153634829725982,0.4168336673346693,False,1.3887966000038432
S1,1000,1,122,False,drgc,0.2535525750871565,0.9779559118236472,False,6.25500959999772
S1,1000,1,122,False,drgc_naive,0.2810284104753053,1.0,False,1.3979902999999467
S1,1000,1,123,False,drgc,0.7860982185717568,0.3687374749498998,False,6.139549500003341
S1,1000,1,123,False,drgc_naive,0.5652600560293395,0.9438877755511024,False,1.441425099998014
S1,1000,1,124,False,drgc,0.4858765608337843,0.5731462925851704,False,6.31560239999817
S1,1000,1,124,False,drgc_naive,0.3818924116789906,0.9659318637274548,False,1.472521299998334
S1,1000,1,125,False,drgc,0.6023156772520837,0.4228456913827655,False,6.130672699997376
S1,1000,1,125,False,drgc_naive,0.5419450392965003,0.935871743486974,False,1.4403925000005984
S1,1000,1,126,False,drgc,1.2699894557628248,0.0521042084168336,False,6.081987099998514
S1,1000,1,126,False,drgc_naive,1.2828184631180457,0.2745490981963928,False,1.442355500003032
S1,1000,1,127,False,drgc,1.2484354732332568,0.034068136272545,True,6.079536800003552
S1,1000,1,127,False,drgc_naive,1.2151792210921823,0.3547094188376753,False,1.6090493999945463
S1,1000,1,128,False,drgc,0.76026023501592,0.3106212424849699,False,5.90981340000144
S1,1000,1,128,False,drgc_naive,0.604767872743562,0.8977955911823647,False,1.886560200000531
S1,1000,1,129,False,drgc,0.8099434417065208,0.3166332665330661,False,6.258458999996947
S1,1000,1,129,False,drgc_naive,0.7077040416533694,0.8056112224448898,False,1.8904538999995568
